timestamp,batch,batch_time_ms,inserted,updated,total_processed,pending_locks,dead_custody,dead_buffer,cache_hit_ratio,long_transactions
2.574892997741699,5,86.17591857910156,908,1092,10000,0,4618,9960,94.51,0
4.852399110794067,9,60.33587455749512,884,1116,18000,0,4618,9960,94.51,0
7.120509147644043,13,60.49609184265137,873,1127,26000,0,4618,9960,94.51,0
9.404438018798828,17,59.70573425292969,896,1104,34000,0,4618,9960,94.51,0
11.687278032302856,21,71.64502143859863,876,1124,42000,0,4618,9960,94.51,0
14.12106204032898,25,108.08300971984863,891,1109,50000,0,4618,9960,94.51,0
16.44080114364624,29,81.17794990539551,870,1130,58000,0,4618,9960,94.51,0
18.7901771068573,33,71.93398475646973,914,1086,66000,0,4618,9960,94.51,0
21.091183185577393,37,70.71208953857422,873,1127,74000,0,4618,9960,94.51,0
23.42251205444336,41,73.39882850646973,910,1090,82000,0,4618,9960,94.51,0
25.57303285598755,44,476.85718536376953,925,1075,88000,0,4618,9960,94.51,0
27.91627812385559,48,76.13992691040039,876,1124,96000,0,4618,9960,94.51,0
30.27710795402527,52,85.66403388977051,911,1089,104000,0,4618,9960,94.51,0
32.622581005096436,56,77.38685607910156,853,1147,112000,0,4618,9960,94.51,0
34.9644410610199,60,82.83019065856934,893,1107,120000,0,4618,9960,94.51,0
37.315964221954346,64,81.08806610107422,890,1110,128000,0,4618,9960,94.51,0
39.664913177490234,68,80.5671215057373,910,1090,136000,0,4618,9960,94.51,0
42.10908102989197,72,98.48690032958984,873,1127,144000,0,4618,9960,94.51,0
44.540339946746826,76,103.14106941223145,904,1096,152000,0,4618,9960,94.51,0
46.96769714355469,80,114.5639419555664,844,1156,160000,0,4618,9960,94.51,0
49.38762402534485,84,112.56909370422363,864,1136,168000,0,4618,9960,94.51,0
51.8182110786438,88,97.61500358581543,878,1122,176000,0,4618,9960,94.51,0
54.24072289466858,92,99.60103034973145,910,1090,184000,0,4618,9960,94.51,0
56.711820125579834,96,126.4340877532959,962,1038,192000,0,4618,9960,94.51,0
59.207168102264404,100,132.45320320129395,920,1080,200000,0,4618,9960,94.51,0
61.66293811798096,104,112.71977424621582,898,1102,208000,0,4618,9960,94.51,0
64.13508296012878,108,111.70291900634766,908,1092,216000,0,4618,9960,94.51,0
66.59250092506409,112,95.73602676391602,856,1144,224000,0,4618,9960,94.51,0
68.95444917678833,116,85.46996116638184,910,1090,232000,0,4618,9960,94.51,0
71.2875759601593,120,75.55270195007324,892,1108,240000,0,4618,9960,94.51,0
73.62655401229858,124,80.55281639099121,866,1134,248000,0,4618,9960,94.51,0
75.97800898551941,128,78.48191261291504,921,1079,256000,0,4618,9960,94.51,0
78.37389993667603,132,99.6849536895752,902,1098,264000,0,4618,9960,94.51,0
80.76852703094482,136,90.56210517883301,891,1109,272000,0,4618,9960,94.51,0
83.16071915626526,140,91.98212623596191,915,1085,280000,0,4618,9960,94.51,0
85.57661008834839,144,103.4541130065918,850,1150,288000,0,4618,9960,94.51,0
87.99057197570801,148,116.67299270629883,891,1109,296000,0,4618,9960,94.51,0
90.77757000923157,152,407.09877014160156,870,1130,304000,0,4618,9960,94.51,0
92.7901120185852,155,163.54608535766602,892,1108,310000,0,4618,9960,94.51,0
95.32289505004883,159,121.46902084350586,942,1058,318000,0,4618,9960,94.51,0
97.81607604026794,163,120.25189399719238,878,1122,326000,0,4618,9960,94.51,0
100.30297589302063,167,132.74526596069336,844,1156,334000,0,4618,9960,94.51,0
102.7580132484436,171,107.35416412353516,889,1111,342000,0,4618,9960,94.51,0
105.23639106750488,175,110.382080078125,934,1066,350000,0,4618,9960,94.51,0
107.78480625152588,179,121.81782722473145,888,1112,358000,0,4618,9960,94.51,0
110.29878306388855,183,129.94933128356934,947,1053,366000,0,4618,9960,94.51,0
112.8094379901886,187,119.27509307861328,885,1115,374000,0,4618,9960,94.51,0
115.33348822593689,191,123.38995933532715,905,1095,382000,0,4618,9960,94.51,0
117.33365392684937,194,199.90777969360352,904,1096,388000,0,4618,9960,94.51,0
119.92461895942688,198,132.54213333129883,886,1114,396000,0,4618,9960,94.51,0
122.19442510604858,201,145.63703536987305,877,1123,402000,0,4618,9960,94.51,0
124.76299500465393,205,132.57598876953125,884,1116,410000,0,4618,9960,94.51,0
127.30593609809875,209,131.16693496704102,914,1086,418000,0,4618,9960,94.51,0
129.9007270336151,213,151.39293670654297,904,1096,426000,0,4618,9960,94.51,0
132.35010719299316,217,102.73003578186035,906,1094,434000,0,4618,9960,94.51,0
134.77622604370117,221,98.69265556335449,885,1115,442000,0,4618,9960,94.51,0
137.3067021369934,225,107.43308067321777,882,1118,450000,0,4618,9960,94.51,0
139.82179927825928,229,127.71201133728027,906,1094,458000,0,4618,9960,94.51,0
142.2841980457306,233,108.67881774902344,888,1112,466000,0,4618,9960,94.51,0
144.7783281803131,237,111.92107200622559,906,1094,474000,0,4618,9960,94.51,0
147.27648997306824,241,117.0201301574707,879,1121,482000,0,4618,9960,94.51,0
149.77108812332153,245,117.25592613220215,867,1133,490000,0,4618,9960,94.51,0
152.6571090221405,249,451.3547420501709,899,1101,498000,0,4618,9960,94.51,0
155.16461420059204,253,121.04606628417969,868,1132,506000,0,4618,9960,94.51,0
157.70730805397034,257,122.38693237304688,902,1098,514000,0,4618,9960,94.51,0
160.21407198905945,261,125.4427433013916,896,1104,522000,0,4618,9960,94.51,0
162.83240699768066,265,157.56702423095703,874,1126,530000,0,4618,9960,94.51,0
165.39594316482544,269,126.23786926269531,905,1095,538000,0,4618,9960,94.51,0
168.0226171016693,273,134.78517532348633,834,1166,546000,0,4618,9960,94.51,0
170.59890985488892,277,135.45513153076172,885,1115,554000,0,4618,9960,94.51,0
173.17848920822144,281,144.00601387023926,859,1141,562000,0,4618,9960,94.51,0
175.78446626663208,285,147.03893661499023,914,1086,570000,0,4618,9960,94.51,0
178.41622614860535,289,143.3548927307129,892,1108,578000,0,4618,9960,94.51,0
181.0577461719513,293,158.0679416656494,878,1122,586000,0,4618,9960,94.51,0
183.06787109375,296,199.65314865112305,919,1081,592000,0,4618,9960,94.51,0
185.07473516464233,299,157.49096870422363,895,1105,598000,0,4618,9960,94.51,0
187.70801210403442,303,150.97403526306152,858,1142,606000,0,4618,9960,94.51,0
190.3552360534668,307,155.5628776550293,863,1137,614000,0,4618,9960,94.51,0
193.00454711914062,311,165.6498908996582,886,1114,622000,0,4618,9960,94.51,0
195.14638113975525,314,296.23913764953613,881,1119,628000,0,4618,9960,94.51,0
197.16559886932373,317,159.98506546020508,880,1120,634000,0,4618,9960,94.51,0
199.17507600784302,320,161.72480583190918,929,1071,640000,0,4618,9960,94.51,0
201.1851670742035,323,158.0209732055664,874,1126,646000,0,4618,9960,94.51,0
