timestamp,batch,batch_time_ms,inserted,updated,total_processed,pending_locks,dead_custody,dead_buffer,cache_hit_ratio,long_transactions
0.17664718627929688,1,135.56504249572754,874,1126,2000,0,0,0,0,0
0.8363780975341797,2,147.84526824951172,911,1089,4000,0,0,0,0,0
1.4998798370361328,3,147.48787879943848,907,1093,6000,0,0,0,0,0
2.1581318378448486,4,144.48928833007812,890,1110,8000,0,0,0,0,0
2.797305107116699,5,122.76101112365723,889,1111,10000,0,0,0,0,0
3.4168717861175537,6,107.81598091125488,905,1095,12000,0,0,0,0,0
4.029052972793579,7,103.16276550292969,889,1111,14000,0,0,0,0,0
4.638137102127075,8,93.40071678161621,870,1130,16000,0,0,0,0,0
5.219104051589966,9,71.03395462036133,909,1091,18000,0,0,0,0,0
5.809180021286011,10,74.7220516204834,889,1111,20000,0,0,0,0,0
6.430012941360474,11,108.36386680603027,924,1076,22000,0,0,0,0,0
7.032289028167725,12,84.45000648498535,892,1108,24000,0,0,0,0,0
7.630177974700928,13,85.24012565612793,868,1132,26000,0,0,0,0,0
8.245795011520386,14,101.92584991455078,870,1130,28000,0,0,0,0,0
8.861405849456787,15,108.15691947937012,882,1118,30000,0,0,0,0,0
9.49018907546997,16,112.91813850402832,874,1126,32000,0,0,0,0,0
10.101945161819458,17,99.08199310302734,888,1112,34000,0,0,0,0,0
10.731315851211548,18,115.19289016723633,888,1112,36000,0,0,0,0,0
11.334110021591187,19,93.61600875854492,855,1145,38000,0,0,0,0,0
11.947842121124268,20,101.32479667663574,900,1100,40000,0,0,0,0,0
12.570128202438354,21,106.64701461791992,884,1116,42000,0,0,0,0,0
